SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 59.7,2,1,1
 65.4,1,1,1
 64.4,3,5,2
 62.4,1,7,1
 60.4,4,10,2
 58.7,2,6,1
 58.7,0,3,0
 63.7,5,10,2
 58.0,0,3,0
 62.2,2,2,2
 60.7,0,2,0
 55.8,2,2,0
 62.4,4,2,2
 58.0,0,2,0
 61.3,4,5,2
 57.4,0,4,0
 57.6,0,4,0
 59.6,1,5,1
 60.1,3,3,1
 65.1,5,5,2
 58.3,1,3,0
 63.6,4,10,2
 61.3,3,3,1
 59.6,1,3,0
 58.9,3,5,0
 57.9,0,4,0
 62.1,1,4,1
 65.5,3,1,2
 59.4,1,1,1
 59.2,0,3,0
 58.9,2,3,0
 58.0,1,3,0
 66.6,3,10,2
 57.4,2,2,1
 57.5,4,10,2
 62.4,4,2,1
 61.3,2,3,1
 57.7,0,5,0
 61.3,2,5,2
 60.5,5,10,2
 61.0,1,5,1
 57.9,3,2,0
 58.0,0,4,0
 65.0,6,6,2
 63.7,2,1,1
 64.9,6,5,2
 57.4,2,4,0
 58.3,0,1,0
 61.2,0,5,1
 60.4,0,3,0
 64.2,2,9,2
 60.6,4,9,2
 61.6,5,6,2
 62.8,2,5,2
 60.5,2,2,2
 56.9,2,5,1
 64.8,3,6,2
 57.7,0,5,0
 64.3,5,9,2
 60.1,0,5,0
 57.0,4,1,2
 63.6,4,9,2
 63.1,5,1,2
 63.1,6,9,2
 59.6,0,3,0
 56.5,0,2,0
 63.0,3,5,1
 63.7,2,6,1
 55.9,0,1,0
 59.9,4,1,2
 56.7,0,3,0
 69.1,4,2,2
 63.8,4,2,2
 58.7,0,2,0
 63.4,4,10,2
 63.2,2,1,1
 62.3,6,9,2
 65.0,0,7,1
 59.6,0,4,0
 61.3,1,2,1
 60.9,4,1,1
 64.6,5,9,2
 61.2,3,5,1
 58.6,1,1,0
 59.6,0,5,0
 58.0,0,4,0
 58.7,2,2,0
 61.0,3,4,1
 56.6,1,3,0
 66.6,5,1,2
 59.0,0,2,0
 65.4,4,6,2
 58.5,1,5,0
 64.3,4,5,2
 58.8,0,3,0
 59.5,4,2,1
 63.3,4,6,1
 59.9,4,2,2
 57.3,0,3,0
 55.9,2,4,0
 59.6,0,2,0
 58.3,1,5,1
 57.9,0,3,0
 64.0,1,3,1
 57.1,6,6,2
 58.6,3,2,1
 59.9,4,6,2
 61.6,2,7,1
 57.5,3,3,1
 64.4,4,6,2
 58.2,1,4,0
 63.6,4,10,2
 60.2,0,4,0
 57.6,1,5,0
 61.3,4,2,1
 57.7,2,5,1
 60.7,2,1,1
 57.3,0,4,0
 55.5,1,1,0
 64.1,4,5,2
 65.4,2,8,1
 63.2,4,4,1
 66.8,4,10,2
 65.6,3,7,1
 55.4,0,2,0
 62.3,1,5,1
 61.6,5,6,2
 58.2,2,2,0
 60.4,0,3,0
 63.2,4,2,2
 64.2,4,1,1
 62.5,3,6,1
 59.8,0,4,0
 63.9,4,5,2
 57.3,0,1,0
 62.5,3,7,1
 56.9,3,10,2
 66.2,1,2,1
 58.0,0,1,0
 61.0,4,5,2
 60.8,3,5,2
 58.6,1,7,1
 65.5,4,5,1
 59.6,0,4,0
 62.8,4,10,2
 62.3,2,2,1
 61.4,3,1,2
 60.2,3,10,2
 57.1,0,2,0
 59.6,2,3,0
 59.2,0,4,0
 61.3,1,4,1
 57.9,5,10,2
 60.6,1,3,1
 58.2,1,1,0
 60.2,2,2,0
 59.8,3,3,1
 62.0,3,10,2
 65.1,3,2,1
 57.2,1,5,0
 64.7,2,1,2
 58.9,0,2,0
 58.1,3,10,2
 59.7,2,1,2
 63.9,0,5,1
 60.4,5,1,2
 57.6,3,7,1
 61.5,4,9,2
 62.1,2,2,1
 61.3,0,4,1
 59.2,0,3,0
 57.7,2,1,0
 58.2,0,4,0
 60.2,0,4,0
 61.7,0,7,1
 64.0,4,5,2
 62.2,2,5,1
 64.8,3,10,2
 65.8,5,9,2
 66.5,6,2,2
 58.3,1,5,0
 60.0,2,3,1
 62.2,1,3,1
 60.1,0,2,1
 64.6,5,9,2
 64.2,6,2,2
 56.8,1,2,1
 62.4,4,4,1
 58.2,2,6,1
 57.6,0,3,0
 62.3,2,6,1
 55.8,1,3,0
 59.3,0,4,0
 63.1,1,4,1
 63.0,3,1,2
 60.1,2,4,1
 56.5,0,4,0
 63.8,4,10,2
 55.7,0,2,0
 54.8,1,4,0
 59.1,0,2,0
 61.0,3,7,1
 60.5,5,9,2
 56.8,0,2,0
 58.5,1,4,0
 62.4,7,9,2
 60.6,1,7,1
 63.6,2,6,1
 63.5,2,1,1
 61.4,4,2,1
 62.4,1,2,1
 58.5,3,3,1
 62.4,6,9,2
 58.9,0,4,0
 63.1,2,1,1
 59.7,3,2,0
 56.3,0,4,0
 58.6,2,8,1
 63.9,5,2,2
 59.1,1,6,1
 55.8,0,2,0
 54.6,0,2,0
 56.6,1,1,0
 57.9,0,4,0
 57.4,0,3,0
 65.4,3,6,2
 62.1,3,7,1
 63.3,6,1,2
 62.5,1,7,1
 64.4,2,1,1
 59.2,0,2,0
 58.7,0,3,0
 63.6,3,10,2
 61.0,1,5,1
 66.0,5,5,2
 63.3,3,2,2
 57.8,0,2,0
 63.9,2,3,1
 61.8,3,6,2
 54.9,0,3,0
 59.0,1,3,1
 67.4,4,10,2
 63.0,3,2,1
 57.4,2,4,0
 61.8,4,6,1
 56.1,1,4,0
 57.5,2,2,0
 64.2,1,7,1
 66.7,2,1,2
 57.6,1,3,0
 61.3,5,1,2
 62.7,5,9,2
 62.5,5,6,2
 63.9,2,9,2
 65.6,1,8,1
 60.9,3,2,1
 59.3,4,1,2
 62.2,2,5,2
 63.6,4,9,2
 67.0,4,9,2
 61.9,2,9,2
 66.2,2,2,1
 61.8,3,6,1
 60.8,3,2,2
 57.4,0,5,0
 63.2,4,1,1
 61.7,0,7,1
 57.9,2,1,0
 56.0,0,3,0
 62.5,6,2,2
 59.7,0,1,0
 61.3,1,8,1
 60.7,3,6,1
 66.8,5,9,2
 61.4,2,2,1
 63.3,4,8,1
 63.2,4,7,1
 59.4,0,3,0
 64.3,4,10,2
 64.4,2,4,1
 64.6,6,9,2
 57.2,3,6,1
 61.8,1,2,1
 65.7,6,10,2
 61.0,4,2,1
 56.1,1,2,0
 58.1,0,2,0
 57.0,0,2,0
 58.4,2,4,0
 63.7,2,7,1
 62.1,4,2,2
 57.3,2,3,0
 56.6,0,1,0
 59.9,4,2,2
 60.2,4,10,2
 68.9,4,1,2
 60.3,4,5,1
 62.0,3,10,2
 61.1,5,10,2
 63.0,7,6,2
