SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 57.3,2,3,0
 54.8,1,1,0
 62.5,0,4,1
 61.4,5,10,2
 65.6,2,4,1
 61.1,0,3,1
 63.4,0,8,1
 59.3,0,3,0
 59.1,0,3,0
 65.2,4,7,1
 62.5,6,5,2
 62.1,3,8,1
 59.4,0,5,0
 58.0,0,5,0
 57.9,1,3,0
 64.6,3,5,2
 64.3,4,10,2
 61.5,3,1,2
 61.2,4,9,2
 57.4,1,4,0
 63.6,2,8,1
 63.0,3,2,2
 63.9,3,1,2
 63.7,4,10,2
 64.3,5,6,2
 65.6,4,6,2
 63.0,3,6,2
 53.2,0,4,0
 64.2,5,9,2
 64.4,5,6,2
 58.3,2,2,1
 63.6,5,5,2
 63.9,1,2,1
 59.2,5,1,2
 64.2,3,5,1
 56.8,2,1,0
 59.8,2,4,0
 61.6,4,8,1
 57.9,0,3,0
 58.6,0,2,0
 60.3,1,2,1
 57.8,0,3,0
 63.8,3,9,2
 58.6,1,4,0
 64.6,3,6,2
 61.9,3,10,2
 63.5,3,2,1
 63.1,4,6,1
 58.5,0,2,0
 63.8,0,3,1
 61.9,4,1,1
 58.3,4,10,2
 60.6,3,7,1
 58.2,0,3,0
 59.8,4,2,1
 59.8,0,4,0
 57.9,0,3,0
 60.1,2,8,1
 61.4,1,1,1
 62.4,3,3,1
 64.3,4,6,2
 64.8,5,9,2
 65.7,2,3,1
 56.9,0,1,0
 63.0,3,9,2
 63.5,3,10,2
 62.7,5,5,2
 64.9,6,1,2
 62.4,3,3,1
 59.1,2,3,1
 62.6,1,5,1
 63.2,2,2,2
 62.5,4,2,1
 61.0,3,6,1
 65.4,8,10,2
 59.2,3,7,1
 61.9,3,5,2
 59.4,3,1,1
 59.8,1,2,1
 59.5,5,10,2
 56.3,0,5,0
 57.0,1,2,0
 61.9,2,1,2
 55.1,0,2,0
 58.2,0,3,0
 58.3,0,2,0
 62.6,4,2,2
 62.9,3,8,1
 58.3,3,5,2
 61.8,1,4,0
 67.0,3,9,2
 63.4,1,1,1
 57.6,0,3,0
 57.7,0,4,0
 60.5,2,3,1
 66.7,5,10,2
 56.9,0,4,0
 59.0,2,7,1
 56.7,1,5,0
 61.5,4,5,2
 63.4,3,2,2
 61.1,1,6,1
 57.0,0,1,0
 59.9,2,7,1
 58.3,2,3,0
 60.3,3,6,2
 56.4,1,3,0
 60.0,1,3,0
 62.8,1,5,1
 66.0,4,2,2
 57.9,5,10,2
 57.7,0,4,0
 59.9,4,2,1
 63.3,3,5,1
 60.2,3,5,1
 59.4,3,4,1
 63.6,7,6,2
 68.4,3,9,2
 61.4,2,6,1
 57.4,1,3,0
 56.6,0,4,0
 58.1,4,9,2
 61.6,4,3,1
 58.0,1,3,0
 61.0,3,2,2
 58.6,0,4,0
 57.1,1,2,0
 62.2,4,5,2
 63.9,1,4,1
 55.6,1,1,0
 61.8,4,5,2
 61.8,1,6,1
 62.6,3,5,1
 58.2,1,2,0
 66.6,4,1,2
 60.0,2,6,1
 65.4,2,5,1
 62.0,4,5,2
 57.1,2,4,0
 67.3,3,2,2
 63.3,0,2,1
 64.5,0,6,1
 63.5,1,1,1
 60.1,4,1,2
 55.8,0,2,0
 58.7,4,10,2
 63.7,3,4,1
 64.0,1,6,1
 57.0,1,1,0
 58.6,1,1,0
 58.2,2,5,0
 64.2,2,5,2
 58.8,0,2,0
 61.7,4,10,2
 66.3,2,5,2
 58.9,0,4,0
 65.5,2,6,1
 60.5,4,2,2
 61.8,2,5,2
 60.7,0,8,1
 59.7,0,4,0
 60.3,4,9,2
 61.5,3,10,2
 58.9,1,1,0
 58.8,5,6,2
 56.9,0,1,0
 57.4,2,4,0
 62.1,1,6,1
 60.0,0,2,0
 64.1,4,8,1
 64.4,6,5,2
 57.4,1,2,0
 62.1,1,4,1
 60.4,4,6,1
 61.0,5,2,2
 62.3,4,5,2
 57.6,0,4,0
 64.3,4,9,2
 62.0,2,7,1
