SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 62.0,3,3,1
 59.0,0,1,1
 62.6,5,2,2
 65.0,4,6,2
 60.2,3,6,1
 58.8,2,2,0
 60.0,4,1,1
 63.5,6,5,2
 61.9,0,7,1
 62.2,4,1,2
 55.0,0,5,0
 61.1,1,5,1
 59.8,4,1,2
 60.7,2,5,1
 67.1,4,6,2
 63.4,0,4,1
 60.5,2,1,1
 66.5,3,5,1
 63.1,3,6,1
 57.6,1,4,0
 56.9,0,2,0
 58.6,0,1,0
 64.2,3,3,1
 63.6,3,6,1
 56.4,0,1,0
 64.0,4,10,2
 57.7,2,3,0
 63.9,4,5,2
 60.5,1,6,1
 63.1,3,9,2
 60.9,0,3,0
 56.0,0,4,0
 57.9,0,5,0
 59.0,0,2,0
 55.9,0,2,0
 61.8,2,1,1
 65.3,6,10,2
 64.0,3,2,2
 62.1,4,6,2
 61.4,5,6,2
 65.6,4,7,1
 59.1,1,4,0
 65.0,3,1,1
 64.5,3,3,1
 61.4,4,5,2
 56.8,2,4,0
 62.2,6,10,2
 57.7,0,5,0
 62.1,2,5,1
 57.0,1,1,0
 62.6,2,7,1
 60.3,0,5,0
 57.8,0,2,0
 60.2,0,2,0
 66.5,2,1,1
 64.2,2,2,1
 66.2,4,1,2
 60.1,3,1,2
 64.7,3,6,1
 57.4,0,4,0
 62.0,3,6,2
 62.5,4,9,2
 68.6,4,6,2
 59.6,3,3,1
 61.5,1,2,1
 60.9,0,1,0
 59.7,0,3,0
 65.8,1,5,1
 58.9,0,2,0
 60.9,4,6,2
 62.8,1,5,1
 58.1,0,3,0
 61.3,5,6,2
 57.9,1,4,0
 58.4,0,3,0
 62.2,3,3,1
 56.8,1,2,0
 61.8,0,1,1
 61.1,1,5,1
 64.9,2,1,2
 64.2,1,1,1
 56.8,0,3,0
 59.8,0,2,0
 56.4,1,1,0
 61.6,1,6,1
 64.8,4,10,2
 57.8,0,2,0
 65.4,4,10,2
 63.5,4,5,1
 63.8,6,2,2
 62.0,3,7,1
 58.7,0,3,0
 61.5,3,4,1
 61.7,3,6,2
 65.1,5,1,2
 63.6,0,7,1
 58.7,0,1,0
 56.6,1,1,0
 63.8,0,6,1
 64.0,4,2,1
 61.2,3,6,1
 60.9,1,3,1
 65.7,4,9,2
 61.0,3,2,1
 60.2,0,5,0
 59.4,3,9,2
 56.8,0,1,0
 58.6,1,3,0
 61.3,4,8,1
 57.3,1,1,0
 63.9,4,2,2
 66.8,3,1,2
 57.9,1,4,0
 59.1,0,2,0
 62.4,3,6,1
 60.9,5,5,2
 59.5,2,4,0
 56.6,0,4,0
 59.1,0,1,0
 54.8,1,4,0
 58.0,1,6,1
 62.1,4,2,2
 58.0,1,3,0
 62.4,6,5,2
 62.2,2,4,1
 67.1,5,9,2
 63.5,2,6,1
 70.3,3,1,2
 63.6,6,10,2
 61.3,7,6,2
 64.1,0,3,1
 60.2,1,2,0
 59.6,3,1,1
 61.3,1,3,0
 62.6,2,7,1
 58.4,0,1,0
 60.2,4,2,2
 63.0,5,1,2
 62.8,5,10,2
 60.5,4,9,2
 58.6,2,3,1
 58.5,4,1,2
 64.0,3,6,1
 69.2,3,6,2
 59.6,5,1,2
 61.7,3,6,2
 57.1,0,4,0
 60.2,1,5,1
 59.9,3,9,2
 60.2,0,8,1
 62.4,5,10,2
 57.6,0,4,0
 63.0,4,5,1
 58.3,0,1,0
 55.3,0,1,0
 62.6,3,8,1
 65.0,4,10,2
 59.8,4,10,2
 62.7,3,8,1
 58.5,1,4,0
 56.0,1,5,0
 63.6,4,8,1
 59.0,2,4,0
 58.0,6,6,2
 65.3,4,10,2
 63.0,3,5,2
 62.6,4,1,2
 62.4,0,5,1
 63.0,4,1,2
 59.6,4,1,2
 62.0,4,2,1
 65.4,4,6,2
 56.5,1,2,0
 56.6,0,1,0
 59.1,4,5,1
 57.4,2,2,0
 66.3,4,5,2
 63.6,3,4,1
 59.6,0,4,0
 62.8,4,6,1
 61.8,3,1,2
 60.4,3,8,1
 56.1,0,2,0
 60.3,6,1,2
 65.5,4,2,2
 60.1,2,1,1
 62.1,0,7,1
 56.9,1,5,0
 58.8,0,5,0
 62.6,2,6,1
 61.4,0,1,1
 58.9,5,2,2
 62.4,3,5,1
 56.7,0,2,0
 58.0,0,4,0
 66.2,4,2,2
 60.8,3,3,1
 57.1,0,2,0
 63.1,6,2,2
 58.3,0,1,0
 63.9,5,2,2
 57.2,0,4,0
 55.3,0,2,0
 64.0,4,6,2
 57.7,2,1,0
 65.9,3,5,1
 59.1,0,3,0
 59.4,1,3,0
 61.6,2,2,1
 61.4,2,6,2
 63.6,5,6,2
 60.9,1,3,1
 60.4,3,5,1
 59.7,0,2,0
 56.5,0,3,0
 56.8,1,2,0
 58.1,1,3,0
 62.9,4,9,2
 62.7,3,5,1
 60.3,3,6,2
 64.1,3,7,1
 63.2,1,7,1
 65.6,4,6,2
 62.4,5,9,2
 64.0,7,6,2
 55.5,0,4,0
 57.2,0,4,1
 61.9,0,7,1
 65.8,4,4,1
 60.7,0,3,0
 64.6,3,2,1
 62.3,3,6,2
 59.6,0,2,0
 58.3,2,1,0
 59.8,2,2,1
 64.8,4,10,2
 63.2,5,2,2
 64.6,2,3,1
 63.0,5,10,2
 58.4,0,4,0
 57.7,0,3,0
 55.7,1,4,0
 65.1,3,6,2
 67.1,5,10,2
 62.5,4,10,2
 61.2,4,9,2
 61.2,0,7,1
 60.8,3,3,1
 56.7,2,5,0
 61.6,1,4,1
 63.3,3,1,1
 58.0,1,2,0
 64.6,5,5,2
 63.5,5,2,2
 64.0,0,1,1
 64.4,4,5,2
 63.4,3,3,1
 63.1,2,1,1
 62.5,4,2,2
 59.3,5,10,2
 61.5,2,5,2
 64.0,3,6,1
 58.5,0,2,0
 59.7,4,9,2
 55.3,1,1,0
 63.0,6,9,2
 66.5,2,6,2
 61.6,0,2,1
 59.0,1,2,0
 57.6,2,4,0
 58.0,0,2,0
 58.6,1,3,0
 61.3,0,3,1
 63.3,2,6,1
 63.0,3,6,1
 57.2,0,2,0
 64.1,5,1,2
 65.7,2,4,1
 61.6,3,2,2
 61.2,4,6,2
 61.2,1,2,1
 62.0,5,5,2
 66.8,5,10,2
 61.1,3,5,2
 57.8,1,5,0
 59.1,1,6,1
 58.9,0,4,0
 58.1,0,4,0
 58.6,0,5,0
 57.1,0,4,0
 67.8,6,1,2
 60.0,0,1,0
 58.7,0,3,0
 58.8,1,7,1
 62.5,1,3,1
 63.8,6,9,2
 64.4,4,2,2
 58.2,0,2,0
 56.6,2,2,0
 59.3,2,2,1
