SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 62.8,0,7,1
 64.6,4,9,2
 61.4,4,5,1
 65.4,3,9,2
 56.9,0,1,0
 61.2,3,1,1
 61.5,2,3,1
 64.4,6,5,2
 64.8,4,5,2
 58.1,0,4,0
 59.2,1,7,1
 66.5,4,7,1
 62.9,6,10,2
 63.9,3,9,2
 56.0,0,3,0
 62.6,4,3,1
 62.8,6,10,2
 65.1,3,10,2
 63.3,4,9,2
 60.9,5,1,2
 61.6,4,6,2
 56.8,1,3,0
 62.1,1,3,1
 64.2,3,1,2
 63.2,0,1,1
 58.2,3,4,0
 64.5,3,2,2
 58.1,0,5,0
 57.7,1,2,0
 66.3,2,5,1
 61.6,5,6,2
 58.3,0,3,0
 62.4,4,3,1
 59.2,1,4,0
 59.6,3,6,2
 58.3,0,3,0
 66.2,5,5,2
 62.4,4,5,2
 66.3,2,1,2
 58.7,0,5,0
 57.1,2,3,0
 61.3,3,4,1
 58.8,4,10,2
 62.6,4,1,2
 64.9,3,6,1
 59.3,2,3,1
 58.0,1,6,1
 64.6,4,1,1
 61.3,4,5,1
 59.9,0,3,0
 62.7,4,2,2
 61.7,0,2,0
 56.1,0,5,0
 56.3,0,2,0
 57.5,0,5,0
 58.6,0,6,1
 65.8,4,2,2
 58.9,0,4,0
 55.6,0,2,0
 64.0,4,2,2
 63.3,1,6,1
 56.8,1,4,0
 64.6,1,5,1
 62.4,2,2,2
 59.4,0,4,0
 59.2,2,4,0
 60.0,0,3,0
 56.2,0,3,0
 59.0,2,2,0
 59.4,1,6,1
 56.9,0,4,0
 60.1,2,1,2
 65.0,4,9,2
 60.9,2,7,1
 60.5,2,10,2
 59.3,0,4,0
 64.2,3,10,2
 58.3,0,2,0
 62.0,5,2,2
 59.3,0,7,1
 57.2,0,5,0
 66.3,2,5,1
 58.8,0,4,0
 60.6,2,4,1
 67.2,5,5,2
 67.3,6,5,2
 60.7,4,4,1
 57.7,1,1,0
 60.8,1,2,0
 59.5,0,1,0
 58.9,1,7,1
 54.6,0,2,0
 64.9,4,5,2
 63.4,4,5,1
 57.4,3,1,0
 65.3,3,2,2
 62.7,2,3,1
 60.5,5,6,2
 58.8,2,5,1
 59.8,2,4,1
 58.2,0,3,0
 63.1,3,2,2
 62.3,4,5,2
 62.6,5,6,2
 61.4,3,7,1
 64.2,2,7,1
 60.7,5,9,2
 57.6,1,5,0
 63.4,0,7,1
 65.0,4,10,2
 61.7,2,3,1
 59.6,0,5,0
 63.4,2,10,2
 64.1,4,6,2
 58.3,0,3,0
 58.5,2,3,0
 57.2,0,4,0
 62.3,2,6,1
 62.8,6,2,2
 59.5,1,2,0
 58.1,0,3,0
 57.1,1,3,0
 61.6,4,4,1
 65.9,3,6,2
 59.4,4,7,1
 59.1,0,1,0
 65.7,3,6,2
 62.0,4,7,1
 65.1,0,3,1
 60.2,5,6,2
 63.0,1,8,1
 64.9,2,5,1
 56.9,1,4,0
 67.1,5,10,2
 56.9,0,4,0
 63.2,3,1,1
 61.0,4,2,1
 63.7,0,6,1
 57.9,2,4,1
 58.8,4,2,2
 60.6,6,5,2
 59.2,3,9,2
 57.2,2,2,0
 58.8,2,4,0
 57.6,2,7,1
 62.0,4,8,1
 62.0,1,2,1
 65.2,2,9,2
 62.5,1,7,1
 65.3,4,1,2
 64.2,4,6,2
 55.8,0,4,0
 61.7,5,10,2
 63.1,3,2,1
 64.2,4,10,2
 57.9,0,3,0
 65.2,4,1,2
 58.9,1,7,1
 60.2,7,6,2
 59.1,1,2,1
 58.0,1,4,0
 59.1,3,3,0
 59.3,0,2,0
 57.6,0,5,0
 59.2,1,2,0
 62.5,4,2,1
 62.3,3,9,2
 63.2,2,1,1
 66.0,4,9,2
 61.8,6,6,2
