SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 63.8,3,4,1
 57.1,6,10,2
 57.5,0,1,0
 59.5,6,6,2
 59.6,4,6,2
 60.8,3,1,2
 59.1,0,1,0
 63.4,2,8,1
 56.2,0,3,0
 58.6,0,4,0
 60.1,1,5,0
 56.5,0,3,0
 57.8,0,1,0
 59.2,0,2,0
 58.3,0,2,0
 60.9,2,5,1
 58.7,4,5,2
 61.4,2,7,1
 61.1,3,7,1
 61.5,5,9,2
 57.8,3,4,0
 61.6,4,3,1
 61.6,5,1,2
 64.6,4,9,2
 63.4,4,7,1
 58.5,0,3,0
 70.0,3,2,2
 53.4,3,2,0
 63.0,5,6,2
 63.7,3,1,1
 65.1,5,6,2
 62.9,5,10,2
 62.6,3,2,2
 63.5,0,4,1
 59.9,0,4,0
 57.5,0,5,0
 64.8,5,1,2
 60.2,0,7,1
 56.5,1,4,0
 65.0,6,2,2
 62.3,4,10,2
 60.9,0,1,0
 62.5,5,10,2
 59.3,2,4,0
 59.1,0,2,0
 60.5,3,4,1
 57.6,2,2,0
 59.8,3,10,2
 63.8,2,4,1
 60.5,3,10,2
 63.3,2,5,1
 55.7,2,4,0
 62.7,4,1,2
 59.3,3,3,0
 57.6,0,3,0
 62.3,6,6,2
 63.7,1,5,1
 65.0,6,1,2
 64.1,5,6,2
 63.3,4,3,1
 59.8,2,4,0
 59.7,4,9,2
 62.6,3,5,1
 62.0,1,4,1
 59.1,4,9,2
 61.5,1,3,1
 62.3,1,7,1
 57.6,0,3,0
 64.9,0,1,1
 56.1,1,4,0
 59.2,2,6,1
 60.8,1,1,1
 62.1,3,4,1
 64.0,6,6,2
 64.0,3,5,2
 64.6,2,7,1
 55.7,1,3,0
 61.6,4,6,2
 57.2,0,2,0
 59.5,4,8,1
 60.4,2,5,2
 63.2,6,9,2
 57.4,0,5,0
 58.9,2,4,0
 61.1,4,6,2
 63.0,2,4,1
 63.1,1,3,1
 62.8,5,1,2
 62.3,5,5,2
 62.1,2,6,1
 57.8,0,4,0
 60.1,0,4,0
 60.0,1,5,1
 65.1,2,10,2
 63.3,0,3,1
 61.5,2,9,2
 59.8,3,10,2
 63.2,3,4,1
 62.8,4,2,1
 62.0,5,9,2
 62.0,4,9,2
 63.2,3,6,2
 61.2,0,3,0
 59.5,2,5,1
 56.8,0,2,0
 58.4,2,2,0
 60.3,1,7,1
 64.8,3,4,1
 61.0,4,4,1
 59.1,3,8,1
 58.7,1,3,0
 64.7,7,2,2
 59.9,0,4,0
 62.1,4,5,2
 65.7,5,9,2
 58.5,0,4,0
 64.6,2,3,1
 64.5,6,6,2
 57.3,0,5,0
 63.0,4,5,1
 57.8,0,1,0
 63.6,4,5,2
 60.2,3,4,1
 60.6,5,1,2
 66.6,4,6,2
 57.0,0,3,0
 63.2,3,1,2
 61.9,1,8,1
 58.7,2,3,0
 64.2,4,5,2
 60.8,0,5,1
 64.2,5,5,2
 58.0,0,4,0
 62.3,2,6,1
 62.9,2,6,1
 61.6,2,1,1
 62.1,6,9,2
 64.8,5,10,2
 63.0,4,1,1
 57.1,0,3,0
 61.7,2,3,1
 63.8,2,6,2
 64.4,2,3,1
 63.2,3,4,1
 64.9,5,10,2
 71.7,5,6,2
 61.3,7,5,2
 57.5,0,1,0
 63.8,3,8,1
 61.8,2,5,1
 61.5,3,2,1
 62.8,5,6,2
 61.8,2,7,1
 70.5,5,10,2
 65.0,2,5,1
 59.9,0,3,0
 59.1,1,5,0
 59.3,0,2,0
 62.9,4,9,2
 66.7,5,2,2
 63.7,2,2,1
 56.2,2,1,0
 58.8,0,5,0
 59.1,4,5,1
 67.0,7,10,2
 56.7,1,5,0
 66.2,4,2,2
 63.4,0,1,0
 62.3,2,3,1
 62.5,4,5,1
 66.5,3,1,2
 63.0,3,4,1
 61.7,5,10,2
 62.7,6,1,2
 63.2,4,2,2
 58.2,0,2,0
 57.5,2,2,0
 63.5,4,10,2
 59.2,0,2,0
 57.5,0,5,0
 68.3,6,9,2
 60.4,2,5,2
 58.0,1,5,0
 64.8,5,1,2
 61.3,4,10,2
 60.3,4,1,2
 61.7,3,7,1
 62.7,3,4,1
 56.9,1,4,0
 65.8,0,3,1
 61.6,3,6,1
