SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 60.4,5,2,2
 61.7,4,9,2
 60.6,7,2,2
 60.8,1,7,1
 57.1,5,1,2
 57.9,0,2,0
 58.6,4,4,1
 62.9,2,5,2
 63.9,4,6,2
 58.4,0,4,0
 62.3,4,10,2
 60.2,3,2,1
 58.7,3,1,2
 57.8,0,2,0
 60.8,2,9,2
 60.0,3,6,2
 65.7,4,6,2
 56.9,0,3,0
 55.8,0,4,0
 60.4,3,3,0
 59.5,1,5,0
 62.3,4,8,1
 59.0,0,2,0
 56.0,1,3,0
 65.9,0,7,1
 57.6,0,5,0
 59.0,1,4,0
 63.0,1,3,1
 62.2,1,7,1
 64.1,0,2,1
 63.6,5,5,2
 64.7,4,2,2
 61.2,4,2,2
 60.2,2,3,0
 59.8,0,4,0
 61.5,1,7,1
 60.4,4,4,1
 59.4,3,5,2
 56.6,3,4,0
 57.7,1,3,0
 55.2,0,5,0
 62.3,2,5,1
 63.3,5,2,2
 63.9,2,4,1
 60.8,2,2,1
 62.9,4,3,1
 61.5,6,6,2
 62.3,1,5,1
 61.7,3,5,1
 54.9,1,2,0
 58.4,0,2,0
 64.0,3,7,1
 61.8,4,6,1
 59.3,0,3,0
 57.5,1,5,0
 60.6,1,4,0
 60.3,2,10,2
 58.2,3,4,1
 60.3,3,2,1
 64.5,4,9,2
 61.7,1,3,1
 61.5,4,2,1
 63.8,4,1,1
 59.4,2,7,1
 63.7,2,2,1
 68.2,2,5,2
 60.8,6,2,2
 63.6,4,1,2
 63.2,4,4,1
 59.8,4,6,2
 60.7,7,6,2
 64.5,2,6,1
 60.8,5,9,2
 59.6,1,5,0
 65.8,3,5,1
 63.6,3,4,1
 63.2,2,5,1
 62.4,3,4,1
 64.4,4,1,2
 61.6,2,1,2
 62.6,3,2,1
 60.5,2,2,0
 57.9,0,4,0
 60.9,3,3,1
 64.2,6,5,2
 54.9,0,4,0
 63.8,3,6,1
 64.7,3,3,1
 63.1,4,2,1
 61.1,3,6,1
 58.4,0,4,0
 61.5,2,6,1
 56.9,0,4,0
 56.4,3,3,0
 59.7,0,1,0
 59.8,0,2,0
 57.3,0,4,0
