SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 63.7,6,10,2
 56.5,0,5,0
 63.8,0,5,1
 58.5,0,1,0
 59.4,9,6,2
 56.4,0,3,0
 61.0,2,2,0
 61.7,5,5,2
 58.0,1,2,1
 61.6,4,9,2
 62.3,6,5,2
 62.6,4,10,2
 59.7,0,3,0
 60.0,1,2,0
 57.6,0,2,0
 58.8,0,2,0
 62.0,4,2,2
 53.3,0,5,0
 58.7,2,2,1
 60.6,1,8,1
 61.6,2,4,1
 62.7,5,6,2
 63.2,4,10,2
 59.1,3,7,1
 58.7,0,2,0
 62.4,0,7,1
 61.0,5,9,2
 65.2,4,9,2
 64.1,4,1,2
 61.9,4,10,2
 58.2,2,2,0
 58.6,0,3,0
 59.6,1,5,1
 62.8,1,2,1
 61.5,1,4,1
 62.5,2,4,1
 69.2,3,2,2
 63.6,2,6,1
 66.5,5,10,2
 59.6,2,6,1
 65.5,2,5,1
 57.6,6,5,2
 57.3,2,5,0
 65.4,2,3,1
 65.9,1,4,1
 61.8,2,4,1
 55.2,0,4,0
 55.7,1,3,0
 58.5,1,3,0
 61.2,3,1,1
 57.3,0,4,0
 63.2,2,2,1
 58.5,2,4,0
 58.4,2,3,0
 58.7,0,4,0
 64.8,3,5,2
 58.1,1,4,0
 57.3,2,4,0
 56.2,2,5,0
 58.8,6,9,2
 61.4,2,7,1
 61.6,4,1,2
 58.2,3,4,0
 58.9,1,4,0
 61.9,3,1,2
 58.3,2,5,0
 57.9,1,2,0
 64.5,5,9,2
 57.9,0,3,0
 61.4,6,6,2
 61.6,3,1,1
 58.4,0,1,0
 58.9,1,2,1
 64.1,5,10,2
 65.9,3,5,2
 64.8,4,5,2
 59.2,4,2,1
 62.3,4,9,2
 63.0,1,5,1
 57.3,0,1,0
 61.0,5,2,2
 61.0,3,3,1
 59.7,1,6,1
 66.0,3,2,2
 59.6,4,4,1
 62.0,6,1,2
 61.6,3,5,1
 65.0,0,4,1
 55.4,1,4,0
 57.8,0,3,0
 60.0,1,3,0
