SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 53.9,0,4,0
 60.8,1,4,1
 71.0,3,5,2
 72.3,3,6,2
 53.2,0,2,0
 54.0,2,2,0
 52.2,0,2,0
 70.1,5,2,2
 78.9,4,10,2
 58.7,2,7,1
 74.3,4,1,2
 71.1,2,2,2
 52.5,0,4,0
 57.8,0,1,1
 60.7,4,1,1
 58.1,1,5,1
 67.4,3,1,2
 65.9,4,5,1
 71.8,4,5,2
 54.2,0,2,0
 55.0,0,3,0
 70.6,4,1,2
 54.2,0,5,0
 56.7,0,4,0
 54.0,3,8,1
 74.0,3,6,2
 72.9,3,9,2
 71.9,4,1,2
 72.2,6,9,2
 71.0,2,1,2
 54.0,0,2,0
 70.7,5,10,2
 70.3,4,10,2
 55.0,1,1,0
 54.6,2,5,0
 55.9,3,3,1
 55.1,0,5,0
 70.8,4,1,2
 65.3,0,3,1
 55.3,1,2,0
 53.9,0,3,0
 68.0,4,6,2
 61.0,4,5,1
 63.4,2,7,1
 56.6,0,2,1
 55.5,2,4,0
 61.3,2,3,1
 55.3,0,4,0
 60.2,3,5,1
 69.7,5,1,2
 53.4,0,2,0
 60.5,4,2,1
 68.8,4,2,2
 67.8,5,6,2
 58.0,1,7,1
 67.9,5,10,2
 58.9,0,4,1
 53.5,0,1,0
 53.5,1,2,0
 70.4,3,6,2
 72.3,4,5,2
 62.0,2,2,1
 52.6,0,2,0
 70.6,5,9,2
 55.4,1,2,0
 72.9,3,1,2
 59.2,2,1,1
 74.2,4,2,2
 54.3,2,2,0
 55.0,2,2,0
 56.6,4,6,1
 54.7,0,3,0
 61.0,3,4,1
 53.9,1,4,0
 72.3,3,2,2
 69.2,6,1,2
 61.4,3,8,1
 61.9,3,1,1
 58.6,2,7,1
 55.0,1,3,0
 56.6,1,6,1
 58.6,0,7,1
 54.1,0,2,0
 75.2,4,6,2
 58.9,3,1,1
 60.3,1,7,1
 59.2,2,4,1
 71.8,4,2,2
 53.2,1,2,0
 61.7,0,1,1
 73.7,5,6,2
 53.0,0,2,0
 60.2,0,2,1
 55.1,0,3,0
 57.1,1,6,1
 61.4,4,6,1
 54.2,3,2,0
 61.8,0,1,1
 54.1,0,2,0
 72.7,5,6,2
 51.6,3,2,0
 61.2,2,1,1
 70.7,3,10,2
 59.0,4,6,1
 58.1,2,7,1
 75.8,4,2,2
 60.8,3,1,1
 60.3,1,3,1
 60.4,0,8,1
 53.4,3,4,0
 52.9,1,3,0
 52.8,0,4,0
 60.7,1,6,1
 62.6,3,7,1
 53.6,0,3,0
 63.3,0,1,1
 54.2,0,1,0
 54.8,1,2,0
 63.5,1,5,1
 52.8,0,3,0
 53.0,3,3,0
 52.9,1,4,0
 78.0,3,2,2
 64.8,4,5,2
 71.1,3,10,2
 59.2,4,3,1
 55.6,2,5,0
 59.0,0,2,1
 52.7,0,4,0
 54.9,0,1,0
 73.6,3,1,2
 57.5,3,6,1
 55.2,2,2,0
 59.2,0,7,1
 62.2,1,2,1
 57.9,3,6,1
 61.1,1,4,1
 52.7,0,5,0
 52.1,0,2,0
 52.6,0,4,0
 57.8,1,6,1
 61.7,3,5,1
 52.4,0,5,0
 49.5,0,3,0
 60.6,0,7,1
 69.9,3,6,2
 58.4,2,8,1
 52.1,2,1,0
 60.4,0,6,1
 55.8,3,3,1
 62.4,1,4,1
 53.6,0,2,0
 57.6,0,2,0
 60.2,4,8,1
 67.3,5,6,2
 71.9,5,2,2
 59.0,2,6,1
 62.1,3,5,1
 71.0,4,9,2
 54.5,1,2,0
 59.0,1,4,1
 71.5,4,2,2
 55.5,0,5,0
 54.7,0,4,0
 64.6,1,2,1
 60.5,1,6,1
 61.6,2,4,1
 71.2,4,2,2
 73.3,5,6,2
 67.0,4,10,2
 72.6,3,2,2
 68.7,6,6,2
 54.0,0,4,0
 60.2,0,8,1
 53.2,3,3,0
 70.8,5,1,2
 71.3,2,5,2
 60.8,1,5,1
 62.4,2,2,1
 70.6,6,9,2
 52.3,0,4,0
 69.8,5,10,2
 55.9,0,3,0
 71.7,5,2,2
 69.7,6,2,2
 53.8,2,3,0
 52.9,0,2,0
 74.0,5,9,2
 59.2,3,2,1
 53.1,0,5,0
 74.8,4,9,2
 55.4,3,2,0
 72.5,6,10,2
 56.7,0,3,1
 61.8,0,7,1
 73.6,2,2,2
 54.0,0,4,0
 54.5,3,2,0
 72.2,5,1,2
 56.1,0,2,0
 53.9,0,2,0
 52.8,0,4,0
 65.4,3,9,2
 53.9,2,4,0
 72.6,5,9,2
 58.2,0,2,1
 55.3,0,4,0
 59.7,1,3,1
 60.8,3,3,1
 55.5,0,3,0
 54.0,0,2,0
 58.9,2,6,1
 54.2,0,2,0
 59.8,3,2,1
 54.4,2,5,0
 55.1,1,4,0
 59.2,3,8,1
 58.9,2,4,1
 59.3,1,1,1
 71.6,3,10,2
 54.2,0,4,0
 54.3,0,4,0
 71.1,4,2,2
 66.7,2,5,1
 60.6,4,5,1
 72.4,6,5,2
 69.9,5,2,2
 72.2,5,1,2
 56.2,0,3,0
 58.1,2,5,1
 72.4,2,6,2
 53.8,1,2,0
 64.5,3,1,1
 73.0,4,5,2
 70.5,4,6,2
 52.4,0,4,0
 75.8,4,6,2
 71.5,3,5,2
 58.1,4,3,1
 68.3,4,10,2
 52.3,0,3,0
 71.0,5,6,2
 66.4,3,5,2
 59.0,3,2,1
 53.8,0,4,0
 54.1,0,5,0
 55.7,0,2,0
 50.9,2,2,0
 59.8,0,3,1
 69.9,4,6,2
 59.3,4,1,1
 60.6,2,6,1
 71.1,4,5,2
 70.4,4,1,2
 70.6,5,5,2
 53.8,0,3,0
 59.5,1,6,1
 58.3,2,8,1
 63.3,0,3,1
 57.2,2,3,1
 71.2,4,5,2
 74.6,4,5,2
 75.7,4,9,2
 53.9,2,5,0
 66.2,4,2,2
 61.3,1,8,1
 56.6,3,4,1
 71.1,5,1,2
 71.5,5,6,2
 68.6,3,5,2
 76.8,2,2,2
 72.8,4,6,2
 55.1,0,3,0
 55.5,0,1,0
 70.8,5,9,2
 63.0,0,3,1
 68.2,3,6,2
 62.9,0,2,1
 61.1,1,5,1
 56.3,0,5,0
 69.9,3,1,2
 53.4,2,5,0
 70.2,4,1,2
 58.2,3,1,1
 71.5,5,10,2
 51.9,0,4,0
 54.9,1,5,1
 52.5,0,2,0
 71.5,4,1,2
 55.7,1,2,0
 54.2,0,1,0
 60.3,2,5,1
 69.5,4,5,2
 68.8,5,6,2
 55.6,0,5,0
 73.5,4,5,2
 69.5,2,6,2
 72.3,5,2,2
 73.1,4,5,2
 53.8,0,1,0
