SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 64.2,4,6,1
 59.3,1,5,1
 66.4,3,1,2
 61.9,3,3,1
 58.6,0,5,0
 59.1,3,1,1
 58.0,0,3,0
 57.9,1,5,0
 64.0,2,8,1
 63.9,4,6,2
 60.5,4,2,1
 58.5,0,2,0
 61.1,2,1,1
 57.6,0,5,0
 57.0,1,4,0
 61.1,0,8,1
 59.1,0,4,0
 59.6,0,2,0
 61.5,4,1,2
 58.2,1,8,1
 63.7,7,9,2
 60.8,0,3,0
 58.6,2,2,0
 60.9,3,4,1
 62.5,4,5,1
 61.2,4,1,2
 57.2,1,3,1
 58.8,1,4,0
 57.8,0,4,0
 63.5,4,1,2
 67.0,5,2,2
 63.9,5,10,2
 63.9,2,1,2
 59.6,2,7,1
 63.1,3,6,2
 66.2,4,1,2
 57.8,2,4,0
 60.5,1,1,1
 60.5,7,2,2
 59.4,4,10,2
 60.4,1,3,1
 62.1,4,6,2
 59.8,3,5,1
 65.0,4,9,2
 63.1,4,9,2
 61.9,0,5,1
 63.0,4,1,2
 61.7,2,4,1
 60.4,0,3,1
 58.4,0,3,0
 60.8,3,2,2
 66.8,3,1,2
 64.6,3,8,1
 56.7,0,3,0
 64.3,5,10,2
 61.3,3,5,0
 63.6,5,2,2
 58.7,2,4,1
 56.0,0,3,0
 59.0,3,1,2
 60.7,2,1,1
 57.3,2,1,0
 64.6,5,6,2
 62.1,1,5,1
 62.1,3,9,2
 58.8,0,4,0
 60.6,1,4,1
 65.5,0,2,1
 63.1,1,2,1
 58.4,0,2,0
 63.4,6,5,2
 63.0,2,4,1
 59.3,1,2,1
 55.4,2,3,0
 64.8,4,2,2
 60.2,1,1,0
 68.5,5,5,2
 60.7,1,4,1
 58.5,0,5,0
 66.0,6,10,2
 63.5,6,6,2
 62.4,3,8,1
 63.8,0,7,1
 55.9,1,3,0
 65.0,6,10,2
 63.1,0,4,1
 59.6,1,2,0
 60.9,5,5,2
 57.0,0,2,0
 57.5,0,4,0
 60.9,3,4,1
 62.7,3,6,1
 62.6,0,6,1
 65.0,3,1,2
 60.9,0,3,0
 61.0,0,7,1
 57.3,0,4,0
 64.1,0,3,1
 56.6,0,1,0
 59.1,2,8,1
 60.2,2,6,1
 62.2,1,5,1
 60.0,1,5,1
 59.1,0,3,0
 56.4,0,2,0
 57.9,0,5,0
 61.7,2,5,0
 58.5,4,2,2
 55.8,0,4,0
 66.0,5,6,2
 60.1,0,3,0
 59.0,0,4,0
 65.6,3,5,2
 63.3,3,4,1
 62.9,5,2,2
 56.9,0,2,0
 67.2,3,2,2
 57.5,2,5,0
 59.4,0,2,0
 57.9,1,1,0
 61.3,0,3,1
 59.6,1,4,0
 65.2,4,2,2
 64.8,7,9,2
 62.4,4,10,2
 63.5,3,5,1
 63.2,5,1,2
 61.1,1,2,1
 63.6,4,9,2
 55.6,0,3,0
 63.4,5,6,2
 60.3,5,10,2
 60.0,3,9,2
 59.6,4,6,2
 59.0,1,3,0
 63.3,0,4,1
 58.8,2,2,0
 62.9,1,2,1
 60.7,2,3,1
 61.3,3,1,2
 60.4,3,5,1
 60.8,2,1,2
 61.0,4,6,1
 63.6,3,1,2
 59.2,0,3,0
 59.1,1,1,0
 65.2,3,1,2
 58.0,0,1,0
 66.6,5,5,2
 59.2,0,4,0
 61.1,1,2,1
 59.0,1,4,0
 63.4,6,5,2
 62.2,3,7,1
 61.1,1,6,1
 56.0,0,3,0
 58.6,0,2,0
 58.3,4,5,2
 64.0,6,10,2
 57.8,0,2,0
 61.5,3,5,2
 60.2,0,2,0
 62.1,4,6,2
 61.8,6,6,2
 58.0,0,3,0
 60.3,0,5,0
 59.4,1,3,0
 61.2,2,2,1
 58.7,1,2,0
 56.3,0,3,0
 62.4,3,4,1
 57.4,1,3,0
 69.4,6,6,2
 60.0,4,6,2
 62.0,0,5,1
 62.9,6,9,2
 64.6,1,7,1
 59.2,0,3,0
 59.2,1,3,0
 59.8,3,1,2
 55.1,0,4,0
 62.0,4,2,2
 65.6,2,6,2
 59.9,0,3,0
 55.9,0,3,0
 63.2,1,7,1
 57.1,5,9,2
 64.5,4,1,2
 56.8,0,5,0
 64.2,3,4,1
 57.4,1,3,0
 58.1,2,2,0
 58.4,1,1,0
 61.1,6,10,2
 62.2,1,3,1
 62.6,5,1,2
 56.9,0,5,0
 57.4,0,3,0
 62.9,6,1,2
 56.8,0,3,0
 57.2,1,2,0
 58.6,0,5,0
 60.7,1,1,1
 60.3,3,6,1
 58.6,0,3,0
 59.6,3,2,0
 59.8,4,7,1
 63.6,5,10,2
 59.9,2,6,1
 59.2,1,2,0
 62.3,2,2,1
 60.7,1,6,1
 62.7,3,3,1
 57.5,1,2,0
 59.4,0,2,0
 68.0,4,9,2
 62.9,0,7,1
 63.0,0,7,1
 63.6,5,5,2
 59.3,2,2,1
 61.6,4,9,2
 63.7,4,10,2
 56.8,1,1,0
 57.4,0,5,0
 57.6,0,4,0
 57.0,2,7,1
 63.8,1,4,1
 59.6,2,7,1
 62.8,3,5,1
 60.9,4,6,2
 61.4,4,2,2
 58.1,0,3,0
 61.0,2,7,1
 59.2,1,5,0
 60.5,1,1,0
 59.4,0,2,0
 62.4,0,5,1
 58.9,0,3,0
 59.7,3,3,0
 64.1,4,1,2
 63.6,4,7,1
 57.9,1,4,0
 60.9,1,7,1
 61.8,1,4,1
 64.3,1,7,1
 60.7,0,4,1
 61.2,4,1,2
 60.5,4,6,2
 61.4,4,6,2
 57.7,3,1,2
 67.0,3,5,2
 60.5,3,3,1
 60.9,5,10,2
 61.0,0,8,1
 62.0,4,10,2
 62.1,4,1,2
 59.9,4,3,1
 64.0,3,2,1
 58.3,0,3,0
 59.3,0,2,0
 60.4,4,7,1
 64.2,4,1,2
 61.0,0,3,1
 56.6,0,4,0
 66.3,4,5,2
 63.5,1,4,1
 59.1,4,6,2
 62.4,5,2,2
 63.9,5,5,2
 60.1,2,5,2
 66.4,4,6,2
 61.4,0,7,1
 65.6,3,4,1
 63.2,2,5,1
 67.2,4,2,2
