SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 61.4,3,6,2
 62.9,3,7,1
 55.3,0,3,0
 53.9,0,3,0
 63.0,5,1,2
 58.2,0,2,0
 59.4,2,2,2
 62.0,4,6,2
 59.8,1,5,0
 59.6,1,6,1
 54.9,0,3,0
 63.6,4,9,2
 57.0,0,5,0
 59.5,2,4,1
 60.4,0,3,0
 65.0,6,9,2
 56.5,0,3,0
 58.1,1,5,1
 60.6,0,3,1
 63.6,4,2,2
 61.7,0,6,1
 63.3,4,2,2
 60.8,0,2,0
 59.0,2,4,0
 59.5,2,5,1
 60.4,0,6,1
 61.6,3,9,2
 61.6,1,8,1
 57.0,0,5,0
 58.9,1,4,0
 65.3,6,9,2
 60.3,1,8,1
 62.1,5,6,2
 57.8,0,3,0
 60.8,4,1,2
 60.9,2,8,1
 58.9,0,3,0
 57.8,2,1,0
 61.4,7,5,2
 61.4,3,9,2
 65.7,3,5,2
 63.5,6,10,2
 57.8,3,5,0
 55.8,1,2,0
 60.6,4,5,2
 73.7,5,10,2
 59.0,0,1,0
 62.0,3,7,1
 64.6,5,2,2
 56.9,0,4,0
 58.6,2,1,0
 58.4,0,3,0
 65.5,3,6,2
 57.4,2,2,0
 61.9,1,4,1
 70.8,2,6,2
 62.5,3,9,2
 59.8,4,9,2
 60.8,4,2,1
 66.1,1,1,1
 56.5,0,2,0
 59.2,3,7,1
 63.5,4,6,1
 66.9,5,9,2
 61.6,5,2,2
 60.5,7,2,2
 64.5,5,10,2
 61.3,3,5,1
 60.2,3,5,1
 60.1,6,2,2
 60.3,2,7,1
 61.2,4,1,2
 61.7,1,8,1
 57.4,1,4,0
 62.8,0,5,1
 64.0,2,6,1
 60.4,2,1,2
 63.7,5,10,2
 57.3,0,2,0
 62.5,2,1,2
 63.8,6,10,2
 58.7,0,4,0
 57.0,0,2,0
 58.4,0,4,0
 60.2,4,10,2
 58.8,1,7,1
 63.6,3,9,2
 63.8,3,9,2
 61.1,4,10,2
 55.2,3,4,0
 65.2,4,10,2
 56.0,5,9,2
 55.1,0,1,0
 56.9,0,5,0
 64.9,2,1,2
 61.4,5,10,2
 67.3,6,9,2
 62.4,4,2,2
 59.9,3,3,1
 56.8,5,2,2
 64.9,1,6,1
 63.0,3,2,1
 62.5,2,2,1
 62.8,3,2,2
 56.5,0,3,0
 60.0,2,3,1
 63.5,2,9,2
 67.7,3,6,2
 63.8,2,1,2
 64.8,2,6,1
 61.7,5,1,2
 63.9,6,6,2
 57.8,0,1,0
 63.2,4,5,1
