SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 64.3,3,10,2
 62.4,3,7,1
 57.9,0,1,0
 64.2,0,2,1
 59.9,5,10,2
 63.1,5,10,2
 56.7,4,10,2
 55.7,0,3,0
 61.0,0,6,1
 58.8,0,5,0
 60.8,2,4,1
 62.0,4,2,2
 64.9,5,1,2
 64.9,2,10,2
 61.9,1,3,1
 64.0,1,5,1
 63.4,5,2,2
 58.9,3,2,1
 62.7,3,6,2
 66.8,4,10,2
 56.7,1,1,0
 60.5,5,9,2
 56.6,0,3,0
 64.0,0,1,1
 62.8,5,10,2
 58.5,0,2,0
 58.8,1,5,0
 59.7,1,2,0
 62.4,4,7,1
 56.7,0,1,0
 63.1,3,4,1
 61.1,0,8,1
 59.2,0,4,0
 61.4,2,7,1
 63.8,5,2,2
 62.0,5,5,2
 57.7,2,3,0
 66.7,2,5,1
 57.3,0,5,0
 63.0,4,3,1
 57.3,0,1,0
 60.3,4,9,2
 58.1,0,2,0
 58.5,2,2,2
 57.6,3,3,0
 64.1,3,5,1
 57.5,0,5,0
 63.0,1,2,1
 59.1,0,3,0
 62.5,3,5,2
 58.2,0,4,0
 64.7,5,10,2
 54.3,0,2,0
 59.3,2,8,1
 56.9,0,3,0
 61.3,4,5,2
 62.0,2,4,1
 65.9,0,7,1
 64.7,4,5,2
 59.7,1,2,0
 57.0,0,4,0
 59.5,2,2,0
 63.5,3,2,2
 60.1,4,6,2
 60.6,5,2,2
 62.6,4,1,1
 63.2,2,6,2
 61.4,4,2,2
 63.7,0,4,1
 57.9,2,5,0
 57.7,0,3,0
 59.0,0,1,0
 60.0,4,2,1
 62.3,4,5,2
 62.5,3,4,1
 60.4,5,9,2
 58.5,0,4,0
 64.9,3,10,2
 60.6,1,3,0
 64.2,5,10,2
 58.5,1,2,0
 59.1,5,2,2
 58.9,1,3,0
 55.6,0,2,0
 58.8,0,2,0
 57.1,0,2,0
 60.9,3,1,1
 59.3,3,2,0
 61.3,1,3,1
 59.7,0,2,0
 66.7,3,6,1
 64.2,5,2,2
 63.2,3,1,2
 59.5,4,6,2
 64.6,6,10,2
 58.7,1,1,1
 60.5,2,3,1
 63.5,3,2,2
 58.1,0,1,0
 64.4,7,1,2
 62.8,3,5,1
 58.3,2,6,1
 66.6,3,10,2
 63.9,5,1,2
 59.8,0,4,0
 61.7,4,6,2
 60.1,6,1,2
 58.1,2,5,0
 58.4,1,3,0
 64.8,4,4,1
 60.2,3,2,0
 65.9,5,5,2
 62.3,3,1,1
 62.0,4,4,1
 60.4,0,2,0
 63.9,5,2,2
 60.2,4,6,2
 61.4,5,2,2
 64.5,3,9,2
 58.9,0,4,0
 62.1,5,9,2
 64.1,1,1,1
 63.2,5,6,2
 57.5,0,3,0
 62.2,0,1,1
 59.3,2,3,1
 56.5,0,3,0
 59.8,2,10,2
 60.7,4,2,2
 60.2,0,4,1
 65.6,4,6,2
 59.0,1,3,0
 56.2,1,2,0
 56.4,0,4,0
 58.3,2,2,1
 56.2,3,2,1
 56.9,0,2,0
 59.9,3,6,1
 66.2,4,8,1
 58.9,0,4,0
 64.6,2,7,1
 62.1,4,5,2
 63.0,6,5,2
 59.8,5,6,2
 56.6,2,1,0
 66.2,6,2,2
 58.1,1,3,0
 58.6,0,4,0
 58.4,2,4,0
 59.1,3,2,2
 60.7,3,2,1
 60.2,3,3,1
 61.5,2,3,1
 61.1,1,7,1
 60.2,3,3,1
 57.6,4,7,1
 61.5,1,8,1
 59.9,0,2,0
 61.8,2,7,1
 61.5,2,7,1
 56.9,0,3,0
 60.9,5,10,2
 61.9,1,5,1
 62.3,3,1,1
 60.6,5,5,2
 57.5,1,4,0
 60.7,2,8,1
 57.2,0,1,0
 58.4,3,1,2
 58.7,1,3,0
 59.7,0,5,1
 65.4,1,1,1
 59.8,1,2,1
 59.1,4,1,2
 61.2,4,2,1
 63.5,4,6,1
 57.7,0,3,0
 59.8,4,1,2
 64.9,7,9,2
 65.7,5,2,2
 60.7,3,6,1
 59.9,3,1,2
 58.7,0,4,0
 57.4,0,3,0
 65.2,3,5,1
 62.8,4,5,2
 57.6,1,2,0
 62.1,4,1,2
 66.2,5,1,2
 63.4,5,9,2
 59.2,0,3,0
 65.2,5,2,2
 59.2,2,4,1
 55.6,3,5,0
 62.5,0,7,1
 64.8,3,9,2
 62.5,1,2,1
 58.2,0,4,0
 61.0,0,3,0
 56.5,0,4,0
 63.0,2,3,1
 58.3,0,3,0
 56.4,2,2,0
 67.5,4,1,2
 59.6,0,6,1
 60.0,4,9,2
 58.2,0,4,0
 56.8,0,3,0
 63.7,1,3,1
 56.7,3,4,0
 61.0,1,4,1
 59.9,2,10,2
 62.7,3,2,2
 64.4,1,8,1
 65.8,4,2,2
 66.5,7,9,2
 58.4,0,4,0
 58.3,2,5,1
 56.1,0,4,0
 62.5,5,10,2
 58.4,0,5,0
 63.7,4,9,2
 59.4,0,5,0
 57.8,0,4,0
 56.4,0,4,0
 64.9,6,10,2
 57.3,1,4,0
 61.9,2,1,1
 63.4,5,1,2
 60.6,5,1,2
 57.7,0,4,0
 62.2,5,6,2
 58.8,3,5,0
 60.6,1,2,0
 58.7,0,3,0
 58.8,0,2,0
 60.4,3,1,2
 61.3,3,9,2
 66.4,4,2,2
 65.2,1,3,1
 62.4,3,6,1
 61.1,2,3,1
 60.1,1,3,0
 61.0,1,2,1
 62.3,0,3,1
 63.7,5,2,2
 64.0,0,5,1
 64.0,4,9,2
 63.0,1,8,1
 61.7,4,4,1
 67.1,5,2,2
 59.8,1,4,0
 63.4,3,5,1
 60.1,1,7,1
 62.0,0,8,1
 62.5,0,6,1
 61.1,0,5,0
 64.1,0,4,1
 62.0,4,5,2
 59.9,0,4,0
 57.6,1,4,0
 63.9,6,1,2
 61.6,6,6,2
 58.1,0,3,0
 59.5,4,5,2
 57.5,0,1,0
 62.4,3,7,1
 59.8,5,5,2
 64.5,5,6,2
 61.8,3,8,1
 61.1,4,1,2
 58.5,0,5,0
 61.0,3,6,1
 65.3,3,7,1
 58.0,0,2,0
 59.7,2,3,0
 60.4,2,3,1
 58.6,0,2,0
 62.6,2,4,1
 61.6,4,4,1
 68.7,5,9,2
 60.9,1,3,0
 59.2,0,3,0
 60.7,0,3,0
 59.4,2,7,1
 62.4,4,5,1
 60.4,3,1,2
 62.4,0,1,1
 59.6,4,2,2
 63.0,3,2,1
 58.1,0,2,1
 63.6,4,7,1
 61.9,4,3,1
 66.3,5,6,2
 56.8,2,4,0
 60.5,3,6,2
 61.5,4,7,1
 62.5,1,6,1
 62.8,4,6,2
 59.4,0,2,0
